------
Drone: 1
id=0, command=command, response=ok, start_time=2023-07-18 20:52:30.701740, end_time=2023-07-18 20:52:30.726403, duration=0.024663
id=1, command=takeoff, response=error, start_time=2023-07-18 20:54:04.917073, end_time=2023-07-18 20:54:04.933062, duration=0.015989
id=2, command=go 20.0 0.0 0.020, response=out of range, start_time=2023-07-18 20:54:06.031639, end_time=2023-07-18 20:54:06.087622, duration=0.055983
id=3, command=go 1.479099678456592 66.10932475884245 0.020, response=out of range, start_time=2023-07-18 20:54:07.170884, end_time=2023-07-18 20:54:07.186879, duration=0.015995
id=4, command=go 68.55305466237942 -0.12861736334404839 0.020, response=out of range, start_time=2023-07-18 20:54:08.280601, end_time=2023-07-18 20:54:08.329250, duration=0.048649
id=5, command=go 65.98070739549838 1.1575562700964497 0.020, response=out of range, start_time=2023-07-18 20:54:09.396474, end_time=2023-07-18 20:54:09.493438, duration=0.096964
id=6, command=go 43.9871382636656 -24.308681672025713 0.020, response=error, start_time=2023-07-18 20:54:10.555897, end_time=2023-07-18 20:54:10.620126, duration=0.064229
id=7, command=go -0.8681672025723515 -67.13826366559486 0.020, response=out of range, start_time=2023-07-18 20:54:11.750436, end_time=2023-07-18 20:54:11.846582, duration=0.096146
id=8, command=go -67.42765273311898 -0.578778135048232 0.020, response=out of range, start_time=2023-07-18 20:54:12.896072, end_time=2023-07-18 20:54:12.977694, duration=0.081622
id=9, command=go -67.13826366559485 0.0 0.020, response=out of range, start_time=2023-07-18 20:54:14.010371, end_time=2023-07-18 20:54:14.098621, duration=0.08825
id=10, command=go -44.565916398713824 24.887459807073956 0.020, response=out of range, start_time=2023-07-18 20:54:15.120306, end_time=2023-07-18 20:54:15.136406, duration=0.0161
id=11, command=go 1.479099678456592 66.10932475884245 0.020, response=out of range, start_time=2023-07-18 20:54:16.216372, end_time=2023-07-18 20:54:16.264374, duration=0.048002
id=12, command=go 68.55305466237942 -0.12861736334404839 0.020, response=out of range, start_time=2023-07-18 20:54:17.327506, end_time=2023-07-18 20:54:17.392485, duration=0.064979
id=13, command=go 65.98070739549838 1.1575562700964497 0.020, response=out of range, start_time=2023-07-18 20:54:18.548402, end_time=2023-07-18 20:54:18.612372, duration=0.06397
id=14, command=go 43.9871382636656 -24.308681672025713 0.020, response=out of range, start_time=2023-07-18 20:54:19.716377, end_time=2023-07-18 20:54:19.852960, duration=0.136583
id=15, command=go -0.8681672025723515 -67.13826366559486 0.020, response=out of range, start_time=2023-07-18 20:54:20.828232, end_time=2023-07-18 20:54:20.852540, duration=0.024308
id=16, command=go -67.42765273311898 -0.578778135048232 0.020, response=out of range, start_time=2023-07-18 20:54:21.975674, end_time=2023-07-18 20:54:22.088441, duration=0.112767
id=17, command=go -67.13826366559485 0.0 0.020, response=out of range, start_time=2023-07-18 20:54:23.151320, end_time=2023-07-18 20:54:23.215519, duration=0.064199
id=18, command=go -44.565916398713824 24.887459807073956 0.020, response=out of range, start_time=2023-07-18 20:54:24.287563, end_time=2023-07-18 20:54:24.343712, duration=0.056149
id=19, command=go 1.479099678456592 66.10932475884245 0.020, response=out of range, start_time=2023-07-18 20:54:25.484994, end_time=2023-07-18 20:54:25.573286, duration=0.088292
id=20, command=go 68.55305466237942 -0.12861736334404839 0.020, response=error, start_time=2023-07-18 20:54:26.653123, end_time=2023-07-18 20:54:26.669123, duration=0.016
id=21, command=go 65.98070739549838 1.1575562700964497 0.020, response=out of range, start_time=2023-07-18 20:54:27.805283, end_time=2023-07-18 20:54:27.934631, duration=0.129348
id=22, command=go 43.9871382636656 -24.308681672025713 0.020, response=out of range, start_time=2023-07-18 20:54:28.885583, end_time=2023-07-18 20:54:28.908082, duration=0.022499
id=23, command=go -0.8681672025723515 -67.13826366559486 0.020, response=out of range, start_time=2023-07-18 20:54:30.040412, end_time=2023-07-18 20:54:30.080756, duration=0.040344
id=24, command=go -67.42765273311898 -0.578778135048232 0.020, response=out of range, start_time=2023-07-18 20:54:31.154313, end_time=2023-07-18 20:54:31.208980, duration=0.054667
id=25, command=go -67.13826366559485 0.0 0.020, response=out of range, start_time=2023-07-18 20:54:32.352127, end_time=2023-07-18 20:54:32.376211, duration=0.024084
id=26, command=go -44.565916398713824 24.887459807073956 0.020, response=out of range, start_time=2023-07-18 20:54:33.574076, end_time=2023-07-18 20:54:33.598071, duration=0.023995
id=27, command=go 1.479099678456592 66.10932475884245 0.020, response=out of range, start_time=2023-07-18 20:54:34.701225, end_time=2023-07-18 20:54:34.733214, duration=0.031989
id=28, command=go 68.55305466237942 -0.12861736334404839 0.020, response=out of range, start_time=2023-07-18 20:54:35.907771, end_time=2023-07-18 20:54:36.011969, duration=0.104198
id=29, command=go 65.98070739549838 1.1575562700964497 0.020, response=out of range, start_time=2023-07-18 20:54:37.041351, end_time=2023-07-18 20:54:37.152950, duration=0.111599
id=30, command=go 43.9871382636656 -24.308681672025713 0.020, response=out of range, start_time=2023-07-18 20:54:38.146623, end_time=2023-07-18 20:54:38.283038, duration=0.136415
id=31, command=go -0.8681672025723515 -67.13826366559486 0.020, response=out of range, start_time=2023-07-18 20:54:39.253893, end_time=2023-07-18 20:54:39.391124, duration=0.137231
