------
Drone: 1
id=0, command=command, response=None, start_time=2023-07-31 15:44:42.093171, end_time=None, duration=None
id=1, command=command, response=None, start_time=2023-07-31 15:44:47.103680, end_time=None, duration=None
id=2, command=command, response=None, start_time=2023-07-31 15:44:52.110520, end_time=None, duration=None
id=3, command=command, response=None, start_time=2023-07-31 15:44:57.119937, end_time=None, duration=None
id=4, command=command, response=None, start_time=2023-07-31 15:45:02.126958, end_time=None, duration=None
id=5, command=command, response=None, start_time=2023-07-31 15:45:07.137229, end_time=None, duration=None
id=6, command=command, response=None, start_time=2023-07-31 15:45:12.145326, end_time=None, duration=None
id=7, command=command, response=None, start_time=2023-07-31 15:45:17.152265, end_time=None, duration=None
id=8, command=command, response=ok, start_time=2023-07-31 15:45:22.159777, end_time=2023-07-31 15:45:22.603472, duration=0.443695
