------
Drone: 1
id=0, command=command, response=ok, start_time=2023-07-18 20:52:30.701740, end_time=2023-07-18 20:52:30.726403, duration=0.024663
id=1, command=takeoff, response=error, start_time=2023-07-18 20:54:04.917073, end_time=2023-07-18 20:54:04.933062, duration=0.015989
id=2, command=go 20.0 0.0 0.020, response=out of range, start_time=2023-07-18 20:54:06.031639, end_time=2023-07-18 20:54:06.087622, duration=0.055983
id=3, command=go 1.479099678456592 66.10932475884245 0.020, response=out of range, start_time=2023-07-18 20:54:07.170884, end_time=2023-07-18 20:54:07.186879, duration=0.015995
id=4, command=go 68.55305466237942 -0.12861736334404839 0.020, response=out of range, start_time=2023-07-18 20:54:08.280601, end_time=2023-07-18 20:54:08.329250, duration=0.048649
id=5, command=go 65.98070739549838 1.1575562700964497 0.020, response=out of range, start_time=2023-07-18 20:54:09.396474, end_time=2023-07-18 20:54:09.493438, duration=0.096964
id=6, command=go 43.9871382636656 -24.308681672025713 0.020, response=error, start_time=2023-07-18 20:54:10.555897, end_time=2023-07-18 20:54:10.620126, duration=0.064229
id=7, command=go -0.8681672025723515 -67.13826366559486 0.020, response=out of range, start_time=2023-07-18 20:54:11.750436, end_time=2023-07-18 20:54:11.846582, duration=0.096146
id=8, command=go -67.42765273311898 -0.578778135048232 0.020, response=out of range, start_time=2023-07-18 20:54:12.896072, end_time=2023-07-18 20:54:12.977694, duration=0.081622
id=9, command=go -67.13826366559485 0.0 0.020, response=out of range, start_time=2023-07-18 20:54:14.010371, end_time=2023-07-18 20:54:14.098621, duration=0.08825
