------
Drone: 1
id=0, command=command, response=ok, start_time=2023-07-31 15:28:13.760740, end_time=2023-07-31 15:28:13.832213, duration=0.071473
id=1, command=takeoff, response=ok, start_time=2023-07-31 15:30:10.140069, end_time=2023-07-31 15:30:14.448545, duration=4.308476
id=2, command=go 20.0 0.0 0.0 20, response=ok, start_time=2023-07-31 15:30:14.918450, end_time=2023-07-31 15:30:17.219002, duration=2.300552
id=3, command=go 1.479099678456592 66.10932475884245 0.0 20, response=ok, start_time=2023-07-31 15:30:17.580874, end_time=2023-07-31 15:30:21.302837, duration=3.721963
id=4, command=go 68.55305466237942 -0.12861736334404839 0.0 20, response=ok, start_time=2023-07-31 15:30:21.801087, end_time=2023-07-31 15:30:25.808818, duration=4.007731
id=5, command=go 65.98070739549838 1.1575562700964497 0.0 20, response=ok, start_time=2023-07-31 15:30:26.045049, end_time=2023-07-31 15:30:29.814461, duration=3.769412
id=6, command=go 43.9871382636656 -24.308681672025713 0.0 20, response=ok, start_time=2023-07-31 15:30:30.285471, end_time=2023-07-31 15:30:32.777034, duration=2.491563
id=7, command=go -0.8681672025723515 -67.13826366559486 0.0 20, response=ok, start_time=2023-07-31 15:30:32.951315, end_time=2023-07-31 15:30:36.272377, duration=3.321062
id=8, command=go -67.42765273311898 -0.578778135048232 0.0 20, response=ok, start_time=2023-07-31 15:30:36.665873, end_time=2023-07-31 15:30:39.754885, duration=3.089012
id=9, command=go -67.13826366559485 0.0 0.0 20, response=ok, start_time=2023-07-31 15:30:40.327062, end_time=2023-07-31 15:30:44.160463, duration=3.833401
id=10, command=go -44.565916398713824 24.887459807073956 0.0 20, response=ok, start_time=2023-07-31 15:30:44.498096, end_time=2023-07-31 15:30:48.358379, duration=3.860283
id=11, command=go 1.479099678456592 66.10932475884245 0.0 20, response=ok, start_time=2023-07-31 15:30:48.695833, end_time=2023-07-31 15:30:52.026367, duration=3.330534
id=12, command=go 68.55305466237942 -0.12861736334404839 0.0 20, response=ok, start_time=2023-07-31 15:30:52.348710, end_time=2023-07-31 15:31:02.934400, duration=10.58569
id=13, command=land, response=ok, start_time=2023-07-31 15:31:03.203362, end_time=2023-07-31 15:31:07.078996, duration=3.875634
