------
Drone: 1
id=0, command=command, response=None, start_time=2023-07-31 17:03:03.921387, end_time=None, duration=None
id=1, command=command, response=None, start_time=2023-07-31 17:03:08.928588, end_time=None, duration=None
id=2, command=command, response=None, start_time=2023-07-31 17:03:13.935658, end_time=None, duration=None
id=3, command=command, response=ok, start_time=2023-07-31 17:03:18.947229, end_time=2023-07-31 17:03:19.048293, duration=0.101064
id=4, command=streamon, response=ok, start_time=2023-07-31 17:04:53.712649, end_time=2023-07-31 17:04:53.759358, duration=0.046709
id=5, command=go 20.0 0.0 0.0 20, response=error Motor stop, start_time=2023-07-31 17:04:54.910362, end_time=2023-07-31 17:04:55.082729, duration=0.172367
id=6, command=go 1.479099678456592 66.10932475884245 0.0 20, response=error Motor stop, start_time=2023-07-31 17:04:56.068315, end_time=2023-07-31 17:04:56.208187, duration=0.139872
id=7, command=go 68.55305466237942 -0.12861736334404839 0.0 20, response=error Motor stop, start_time=2023-07-31 17:04:57.153934, end_time=2023-07-31 17:04:57.339993, duration=0.186059
id=8, command=go 65.98070739549838 1.1575562700964497 0.0 20, response=error Motor stop, start_time=2023-07-31 17:04:58.269414, end_time=2023-07-31 17:04:58.410031, duration=0.140617
id=9, command=go 43.9871382636656 -24.308681672025713 0.0 20, response=error Motor stop, start_time=2023-07-31 17:04:59.380005, end_time=2023-07-31 17:04:59.527856, duration=0.147851
id=10, command=go -0.8681672025723515 -67.13826366559486 0.0 20, response=error Motor stop, start_time=2023-07-31 17:05:00.479913, end_time=2023-07-31 17:05:00.654684, duration=0.174771
id=11, command=go -67.42765273311898 -0.578778135048232 0.0 20, response=error Motor stop, start_time=2023-07-31 17:05:01.590423, end_time=2023-07-31 17:05:01.764026, duration=0.173603
id=12, command=go -67.13826366559485 0.0 0.0 20, response=error Motor stop, start_time=2023-07-31 17:05:02.686238, end_time=2023-07-31 17:05:02.829414, duration=0.143176
id=13, command=go -44.565916398713824 24.887459807073956 0.0 20, response=error Motor stop, start_time=2023-07-31 17:05:03.799914, end_time=2023-07-31 17:05:03.961719, duration=0.161805
