------
Drone: 1
id=0, command=command, response=None, start_time=2023-07-31 15:44:42.093171, end_time=None, duration=None
id=1, command=command, response=None, start_time=2023-07-31 15:44:47.103680, end_time=None, duration=None
id=2, command=command, response=None, start_time=2023-07-31 15:44:52.110520, end_time=None, duration=None
id=3, command=command, response=None, start_time=2023-07-31 15:44:57.119937, end_time=None, duration=None
id=4, command=command, response=None, start_time=2023-07-31 15:45:02.126958, end_time=None, duration=None
id=5, command=command, response=None, start_time=2023-07-31 15:45:07.137229, end_time=None, duration=None
id=6, command=command, response=None, start_time=2023-07-31 15:45:12.145326, end_time=None, duration=None
id=7, command=command, response=None, start_time=2023-07-31 15:45:17.152265, end_time=None, duration=None
id=8, command=command, response=ok, start_time=2023-07-31 15:45:22.159777, end_time=2023-07-31 15:45:22.603472, duration=0.443695
id=9, command=takeoff, response=ok, start_time=2023-07-31 15:46:42.298801, end_time=2023-07-31 15:46:46.381729, duration=4.082928
id=10, command=go 20.0 0.0 0.0 20, response=ok, start_time=2023-07-31 15:46:47.004582, end_time=2023-07-31 15:46:48.934052, duration=1.92947
id=11, command=go 1.479099678456592 66.10932475884245 0.0 20, response=ok, start_time=2023-07-31 15:46:49.181976, end_time=2023-07-31 15:46:52.936289, duration=3.754313
